Power,Time,Temperature,Fin Type_Round,Fin Type_Square,Fin Type_Triangular,Configuration_Inline,Configuration_Staggered,PCM_Paraffin,PCM_RT-35,PCM_RT-44
8,40,46.3,0,1,0,0,1,0,0,1
8,42,46.64,0,1,0,0,1,0,0,1
8,44,47.16,0,1,0,0,1,0,0,1
8,46,47.67,0,1,0,0,1,0,0,1
8,48,49.05,0,1,0,0,1,0,0,1
8,50,50.77,0,1,0,0,1,0,0,1
8,52,52.4,0,1,0,0,1,0,0,1
8,54,53.77,0,1,0,0,1,0,0,1
8,56,55.15,0,1,0,0,1,0,0,1
8,58,56.52,0,1,0,0,1,0,0,1
8,60,57.64,0,1,0,0,1,0,0,1
8,62,58.76,0,1,0,0,1,0,0,1
8,64,59.88,0,1,0,0,1,0,0,1
8,66,60.82,0,1,0,0,1,0,0,1
8,68,61.85,0,1,0,0,1,0,0,1
8,70,62.71,0,1,0,0,1,0,0,1
8,72,63.48,0,1,0,0,1,0,0,1
8,74,64.26,0,1,0,0,1,0,0,1
8,76,64.95,0,1,0,0,1,0,0,1
8,78,65.55,0,1,0,0,1,0,0,1
8,80,65.98,0,1,0,0,1,0,0,1
8,82,66.32,0,1,0,0,1,0,0,1
8,84,66.66,0,1,0,0,1,0,0,1
8,86,67.01,0,1,0,0,1,0,0,1
8,88,67.35,0,1,0,0,1,0,0,1
8,90,67.61,0,1,0,0,1,0,0,1
8,0,24.5,1,0,0,1,0,0,0,1
8,2,27.3,1,0,0,1,0,0,0,1
8,4,29.85,1,0,0,1,0,0,0,1
8,6,32.35,1,0,0,1,0,0,0,1
8,8,34.41,1,0,0,1,0,0,0,1
8,10,36.42,1,0,0,1,0,0,0,1
8,12,38.24,1,0,0,1,0,0,0,1
8,14,39.46,1,0,0,1,0,0,0,1
8,16,40.34,1,0,0,1,0,0,0,1
8,18,41.08,1,0,0,1,0,0,0,1
8,20,41.72,1,0,0,1,0,0,0,1
8,22,42.21,1,0,0,1,0,0,0,1
8,24,42.55,1,0,0,1,0,0,0,1
8,26,42.94,1,0,0,1,0,0,0,1
8,28,43.24,1,0,0,1,0,0,0,1
8,30,43.53,1,0,0,1,0,0,0,1
8,32,43.82,1,0,0,1,0,0,0,1
8,34,44.12,1,0,0,1,0,0,0,1
8,36,44.46,1,0,0,1,0,0,0,1
8,38,44.75,1,0,0,1,0,0,0,1
8,40,45.05,1,0,0,1,0,0,0,1
8,42,45.34,1,0,0,1,0,0,0,1
8,44,45.59,1,0,0,1,0,0,0,1
8,46,45.93,1,0,0,1,0,0,0,1
8,48,46.27,1,0,0,1,0,0,0,1
8,50,46.62,1,0,0,1,0,0,0,1
8,52,46.96,1,0,0,1,0,0,0,1
8,54,47.4,1,0,0,1,0,0,0,1
8,56,47.99,1,0,0,1,0,0,0,1
8,58,48.53,1,0,0,1,0,0,0,1
8,60,49.12,1,0,0,1,0,0,0,1
8,62,50.29,1,0,0,1,0,0,0,1
8,64,51.67,1,0,0,1,0,0,0,1
8,66,52.99,1,0,0,1,0,0,0,1
8,68,54.22,1,0,0,1,0,0,0,1
8,70,55.34,1,0,0,1,0,0,0,1
8,72,56.47,1,0,0,1,0,0,0,1
8,74,57.4,1,0,0,1,0,0,0,1
8,76,58.43,1,0,0,1,0,0,0,1
8,78,59.36,1,0,0,1,0,0,0,1
8,80,60.2,1,0,0,1,0,0,0,1
8,82,61.03,1,0,0,1,0,0,0,1
8,84,61.81,1,0,0,1,0,0,0,1
8,86,62.5,1,0,0,1,0,0,0,1
8,88,63.19,1,0,0,1,0,0,0,1
8,90,63.82,1,0,0,1,0,0,0,1
8,0,24.5,1,0,0,1,0,0,1,0
8,2,27.11,1,0,0,1,0,0,1,0
8,4,29.31,1,0,0,1,0,0,1,0
8,6,31.08,1,0,0,1,0,0,1,0
8,8,32.5,1,0,0,1,0,0,1,0
8,10,33.38,1,0,0,1,0,0,1,0
8,12,34.12,1,0,0,1,0,0,1,0
8,14,34.71,1,0,0,1,0,0,1,0
8,16,35.25,1,0,0,1,0,0,1,0
8,18,35.78,1,0,0,1,0,0,1,0
8,20,36.18,1,0,0,1,0,0,1,0
8,22,36.57,1,0,0,1,0,0,1,0
8,24,37.01,1,0,0,1,0,0,1,0
8,26,37.45,1,0,0,1,0,0,1,0
8,28,37.84,1,0,0,1,0,0,1,0
8,30,38.33,1,0,0,1,0,0,1,0
8,32,38.77,1,0,0,1,0,0,1,0
8,34,39.46,1,0,0,1,0,0,1,0
8,36,39.85,1,0,0,1,0,0,1,0
8,38,40.44,1,0,0,1,0,0,1,0
8,40,41.62,1,0,0,1,0,0,1,0
8,42,43.53,1,0,0,1,0,0,1,0
8,44,45.34,1,0,0,1,0,0,1,0
